date,key,value
11/01/16,Montebourg,0
11/01/16,Hamon,0
11/01/16,Melenchon,1
11/02/16,Le Pen,0
11/02/16,Fillon,2
11/02/16,Sarkozy,8
11/02/16,Juppe,8
11/02/16,Macron,0
11/02/16,Hollande,2
11/02/16,Valls,0
11/02/16,Montebourg,0
11/02/16,Hamon,0
11/02/16,Melenchon,2
11/03/16,Le Pen,1
11/03/16,Fillon,0
11/03/16,Sarkozy,5
11/03/16,Juppe,6
11/03/16,Macron,2
11/03/16,Hollande,5
11/03/16,Valls,2
11/03/16,Montebourg,2
11/03/16,Hamon,0
11/03/16,Melenchon,1
11/04/16,Le Pen,0
11/04/16,Fillon,1
11/04/16,Sarkozy,4
11/04/16,Juppe,4
11/04/16,Macron,1
11/04/16,Hollande,3
11/04/16,Valls,0
11/04/16,Montebourg,0
11/04/16,Hamon,0
11/04/16,Melenchon,3
11/05/16,Le Pen,0
11/05/16,Fillon,0
11/05/16,Sarkozy,1
11/05/16,Juppe,2
11/05/16,Macron,2
11/05/16,Hollande,1
11/05/16,Valls,0
11/05/16,Montebourg,1
11/05/16,Hamon,0
11/05/16,Melenchon,4
11/06/16,Le Pen,0
11/06/16,Fillon,0
11/06/16,Sarkozy,1
11/06/16,Juppe,2
11/06/16,Macron,1
11/06/16,Hollande,3
11/06/16,Valls,3
11/06/16,Montebourg,0
11/06/16,Hamon,0
11/06/16,Melenchon,0
11/07/16,Le Pen,0
11/07/16,Fillon,0
11/07/16,Sarkozy,2
11/07/16,Juppe,5
11/07/16,Macron,0
11/07/16,Hollande,3
11/07/16,Valls,2
11/07/16,Montebourg,1
11/07/16,Hamon,1
11/07/16,Melenchon,3
11/08/16,Le Pen,0
11/08/16,Fillon,0
11/08/16,Sarkozy,5
11/08/16,Juppe,4
11/08/16,Macron,3
11/08/16,Hollande,4
11/08/16,Valls,0
11/08/16,Montebourg,0
11/08/16,Hamon,0
11/08/16,Melenchon,2
11/09/16,Le Pen,3
11/09/16,Fillon,2
11/09/16,Sarkozy,6
11/09/16,Juppe,2
11/09/16,Macron,2
11/09/16,Hollande,4
11/09/16,Valls,0
11/09/16,Montebourg,0
11/09/16,Hamon,0
11/09/16,Melenchon,1
11/10/16,Le Pen,2
11/10/16,Fillon,2
11/10/16,Sarkozy,4
11/10/16,Juppe,3
11/10/16,Macron,2
11/10/16,Hollande,0
11/10/16,Valls,1
11/10/16,Montebourg,0
11/10/16,Hamon,1
11/10/16,Melenchon,0
11/11/16,Le Pen,0
11/11/16,Fillon,2
11/11/16,Sarkozy,1
11/11/16,Juppe,1
11/11/16,Macron,0
11/11/16,Hollande,2
11/11/16,Valls,1
11/11/16,Montebourg,0
11/11/16,Hamon,0
11/11/16,Melenchon,1
11/12/16,Le Pen,1
11/12/16,Fillon,0
11/12/16,Sarkozy,3
11/12/16,Juppe,2
11/12/16,Macron,1
11/12/16,Hollande,0
11/12/16,Valls,0
11/12/16,Montebourg,0
11/12/16,Hamon,0
11/12/16,Melenchon,0
11/13/16,Le Pen,2
11/13/16,Fillon,2
11/13/16,Sarkozy,2
11/13/16,Juppe,1
11/13/16,Macron,0
11/13/16,Hollande,3
11/13/16,Valls,2
11/13/16,Montebourg,0
11/13/16,Hamon,0
11/13/16,Melenchon,0
11/14/16,Le Pen,2
11/14/16,Fillon,5
11/14/16,Sarkozy,5
11/14/16,Juppe,7
11/14/16,Macron,1
11/14/16,Hollande,3
11/14/16,Valls,3
11/14/16,Montebourg,0
11/14/16,Hamon,0
11/14/16,Melenchon,1
11/15/16,Le Pen,1
11/15/16,Fillon,5
11/15/16,Sarkozy,8
11/15/16,Juppe,12
11/15/16,Macron,6
11/15/16,Hollande,4
11/15/16,Valls,3
11/15/16,Montebourg,1
11/15/16,Hamon,0
11/15/16,Melenchon,1
11/16/16,Le Pen,10
11/16/16,Fillon,4
11/16/16,Sarkozy,6
11/16/16,Juppe,5
11/16/16,Macron,30
11/16/16,Hollande,8
11/16/16,Valls,3
11/16/16,Montebourg,0
11/16/16,Hamon,0
11/16/16,Melenchon,1
11/17/16,Le Pen,3
11/17/16,Fillon,5
11/17/16,Sarkozy,7
11/17/16,Juppe,7
11/17/16,Macron,12
11/17/16,Hollande,3
11/17/16,Valls,2
11/17/16,Montebourg,0
11/17/16,Hamon,1
11/17/16,Melenchon,2
11/18/16,Le Pen,0
11/18/16,Fillon,10
11/18/16,Sarkozy,4
11/18/16,Juppe,2
11/18/16,Macron,7
11/18/16,Hollande,0
11/18/16,Valls,1
11/18/16,Montebourg,0
11/18/16,Hamon,0
11/18/16,Melenchon,1
11/19/16,Le Pen,0
11/19/16,Fillon,1
11/19/16,Sarkozy,0
11/19/16,Juppe,0
11/19/16,Macron,2
11/19/16,Hollande,3
11/19/16,Valls,0
11/19/16,Montebourg,0
11/19/16,Hamon,0
11/19/16,Melenchon,0
11/20/16,Le Pen,1
11/20/16,Fillon,13
11/20/16,Sarkozy,9
11/20/16,Juppe,6
11/20/16,Macron,1
11/20/16,Hollande,1
11/20/16,Valls,2
11/20/16,Montebourg,0
11/20/16,Hamon,0
11/20/16,Melenchon,1
11/21/16,Le Pen,2
11/21/16,Fillon,51
11/21/16,Sarkozy,24
11/21/16,Juppe,20
11/21/16,Macron,3
11/21/16,Hollande,6
11/21/16,Valls,1
11/21/16,Montebourg,1
11/21/16,Hamon,0
11/21/16,Melenchon,1
11/22/16,Le Pen,3
11/22/16,Fillon,50
11/22/16,Sarkozy,3
11/22/16,Juppe,22
11/22/16,Macron,1
11/22/16,Hollande,2
11/22/16,Valls,1
11/22/16,Montebourg,0
11/22/16,Hamon,0
11/22/16,Melenchon,0
11/23/16,Le Pen,0
11/23/16,Fillon,43
11/23/16,Sarkozy,4
11/23/16,Juppe,20
11/23/16,Macron,1
11/23/16,Hollande,2
11/23/16,Valls,1
11/23/16,Montebourg,0
11/23/16,Hamon,0
11/23/16,Melenchon,1
11/24/16,Le Pen,1
11/24/16,Fillon,38
11/24/16,Sarkozy,1
11/24/16,Juppe,27
11/24/16,Macron,3
11/24/16,Hollande,5
11/24/16,Valls,1
11/24/16,Montebourg,1
11/24/16,Hamon,0
11/24/16,Melenchon,1
11/25/16,Le Pen,1
11/25/16,Fillon,45
11/25/16,Sarkozy,4
